Prediction,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10
0.7678289,-0.035,-0.062,0.064,-0.108,-0.254,-0.127,-0.202,0.582,0.083,0.032,0.46,0.406,1.027,0.853,0.301,0.203,1.312,1.17,0.206
0.7848762,-0.026,-0.027,0.083,-0.088,-0.251,-0.111,-0.175,0.601,0.001,0.017,0.472,0.376,1.023,0.884,0.269,0.167,1.332,1.192,0.193
0.8042865,-0.027,-0.025,0.083,-0.065,-0.285,-0.152,-0.141,0.596,-0.025,-0.015,0.472,0.377,1.04,0.909,0.265,0.147,1.372,1.229,0.208
0.8156986,-0.037,-0.035,0.077,-0.078,-0.324,-0.208,-0.131,0.493,0.174,0.012,0.451,0.394,1.076,0.958,0.258,0.144,1.391,1.231,0.216
0.8045037,-0.131,-0.023,0.048,-0.116,-0.263,-0.322,-0.095,0.487,0.171,0.038,0.421,0.406,1.078,0.968,0.251,0.144,1.386,1.226,0.218
0.8552085,-0.173,0.002,0.03,-0.118,-0.156,-0.322,-0.078,0.486,0.168,0.011,0.353,0.422,1.086,0.965,0.242,0.178,1.392,1.231,0.243
0.89840966,-0.208,0.009,0.016,-0.107,-0.05,-0.306,-0.062,0.55,0.162,-0.016,0.309,0.445,1.161,0.909,0.222,0.213,1.406,1.248,0.277
0.9069424,-0.23,-0.011,0.02,-0.085,0.063,-0.295,0.011,0.635,0.148,-0.015,0.318,0.443,1.208,0.857,0.213,0.289,1.42,1.258,0.348
0.8164131,-0.255,-0.035,0.029,-0.083,0.068,-0.291,0.058,0.662,0.117,-0.006,0.505,0.433,1.262,0.721,0.216,0.321,1.41,1.238,0.374
0.8209733,-0.245,-0.087,0.063,-0.061,0.136,-0.287,0.103,0.661,0.113,-0.006,0.515,0.434,1.285,0.727,0.234,0.351,1.405,1.212,0.399
0.82093376,-0.245,-0.09,0.079,-0.036,0.136,-0.295,0.103,0.644,0.113,0.064,0.518,0.441,1.285,0.741,0.262,0.414,1.397,1.202,0.444
0.82306033,-0.245,-0.089,0.104,-0.018,0.136,-0.3,0.095,0.624,0.113,0.187,0.517,0.461,1.285,0.765,0.316,0.437,1.397,1.196,0.454
0.7992631,-0.243,-0.1,0.125,-0.014,0.118,-0.27,0.062,0.608,0.215,0.336,0.508,0.463,1.266,0.772,0.327,0.446,1.363,1.178,0.453
0.78582454,-0.253,-0.117,0.168,-0.012,0.117,-0.239,0.041,0.573,0.26,0.433,0.493,0.447,1.252,0.773,0.334,0.443,1.341,1.167,0.448
0.7738853,-0.303,-0.176,0.291,-0.002,0.149,-0.209,-0.002,0.573,0.252,0.433,0.495,0.442,1.262,0.77,0.347,0.444,1.329,1.16,0.443
0.76277095,-0.339,-0.223,0.346,-0.001,0.157,-0.204,-0.019,0.571,0.2,0.433,0.511,0.442,1.272,0.763,0.368,0.453,1.339,1.142,0.438
0.7347217,-0.432,-0.347,0.43,-0.002,0.143,-0.206,-0.028,0.571,0.189,0.432,0.511,0.434,1.281,0.747,0.404,0.452,1.327,1.118,0.43
0.7077131,-0.442,-0.379,0.46,-0.004,0.081,-0.193,-0.062,0.565,0.18,0.431,0.511,0.428,1.271,0.754,0.414,0.42,1.277,1.051,0.397
0.7130711,-0.404,-0.381,0.485,-0.004,0.061,-0.179,-0.11,0.486,0.188,0.431,0.506,0.436,1.231,0.799,0.419,0.393,1.257,1.026,0.381
0.7243225,-0.361,-0.373,0.503,-0.011,0.028,-0.157,-0.231,0.352,0.188,0.431,0.499,0.449,1.217,0.819,0.411,0.365,1.246,1.011,0.368
0.7362465,-0.346,-0.384,0.494,-0.028,0.006,-0.144,-0.268,0.236,0.188,0.431,0.379,0.465,1.199,0.824,0.397,0.312,1.236,0.979,0.331
0.7221722,-0.309,-0.436,0.457,-0.056,-0.012,-0.128,-0.294,0.313,0.188,0.442,0.373,0.482,1.166,0.802,0.357,0.29,1.237,0.956,0.313
0.7091969,-0.298,-0.453,0.439,-0.128,-0.044,-0.13,-0.334,0.372,0.188,0.446,0.389,0.485,1.153,0.79,0.34,0.286,1.253,0.921,0.303
0.7054171,-0.29,-0.433,0.42,-0.173,-0.061,-0.158,-0.338,0.382,0.114,0.424,0.438,0.498,1.129,0.781,0.33,0.298,1.27,0.91,0.309
0.71643615,-0.255,-0.34,0.357,-0.272,-0.134,-0.229,-0.329,0.364,0.055,0.332,0.45,0.503,1.111,0.787,0.332,0.307,1.278,0.906,0.317
0.728828,-0.242,-0.313,0.311,-0.282,-0.172,-0.244,-0.314,0.41,0.028,0.131,0.488,0.507,1.102,0.806,0.332,0.297,1.284,0.938,0.329
0.7408132,-0.207,-0.301,0.205,-0.262,-0.216,-0.245,-0.28,0.41,0.011,0.116,0.488,0.516,1.076,0.875,0.331,0.281,1.287,0.969,0.325
0.73459685,-0.204,-0.311,0.152,-0.248,-0.3,-0.269,-0.2,0.414,0.208,0.125,0.47,0.519,1.034,0.906,0.334,0.274,1.272,1.008,0.307
0.7214522,-0.201,-0.32,0.101,-0.271,-0.329,-0.298,-0.182,0.474,0.22,0.094,0.46,0.51,0.944,0.927,0.34,0.299,1.254,1.015,0.302
0.7156229,-0.147,-0.297,-0.009,-0.297,-0.339,-0.327,-0.174,0.487,0.214,0.07,0.485,0.5,0.916,0.926,0.345,0.338,1.24,1.021,0.299
0.71322167,-0.116,-0.282,-0.044,-0.274,-0.319,-0.334,-0.172,0.528,0.266,0.055,0.487,0.489,0.901,0.926,0.357,0.397,1.229,1.025,0.285
0.71320754,-0.115,-0.26,-0.063,-0.236,-0.292,-0.354,-0.17,0.536,0.289,0.042,0.487,0.472,0.891,0.945,0.39,0.403,1.227,1.034,0.275
0.71449006,-0.126,-0.256,-0.069,-0.173,-0.255,-0.413,-0.161,0.536,0.289,0.005,0.487,0.466,0.884,0.966,0.404,0.382,1.22,1.063,0.268
0.7169395,-0.14,-0.257,-0.073,-0.155,-0.25,-0.409,-0.153,0.536,0.289,-0.019,0.487,0.447,0.866,0.988,0.42,0.367,1.227,1.08,0.27
0.7231703,-0.181,-0.295,-0.077,-0.125,-0.26,-0.288,-0.122,0.536,0.289,-0.013,0.476,0.435,0.861,0.975,0.42,0.359,1.248,1.13,0.274
0.7474834,-0.205,-0.329,-0.076,-0.117,-0.265,-0.273,-0.098,0.536,0.281,-0.017,0.386,0.424,0.859,0.953,0.413,0.383,1.298,1.212,0.293
0.74399513,-0.217,-0.364,-0.097,-0.122,-0.275,-0.298,-0.081,0.536,0.281,-0.034,0.348,0.405,0.88,0.877,0.374,0.407,1.311,1.233,0.309
0.7477528,-0.206,-0.352,-0.13,-0.154,-0.27,-0.383,-0.1,0.536,0.281,-0.066,0.294,0.395,0.9,0.819,0.353,0.44,1.32,1.25,0.327
0.7331025,-0.188,-0.325,-0.17,-0.153,-0.262,-0.399,-0.098,0.533,0.215,-0.16,0.367,0.392,0.953,0.688,0.331,0.44,1.334,1.263,0.324
0.7300062,-0.185,-0.316,-0.182,-0.072,-0.227,-0.372,0.058,0.49,0.223,-0.224,0.457,0.401,0.974,0.632,0.323,0.432,1.354,1.288,0.322
0.7390371,-0.174,-0.3,-0.125,-0.001,-0.213,-0.346,0.17,0.432,0.277,-0.102,0.529,0.409,0.987,0.619,0.311,0.406,1.415,1.332,0.342
0.7577078,-0.212,-0.245,-0.003,0.063,-0.214,-0.317,0.257,0.371,0.277,-0.1,0.531,0.397,1.001,0.618,0.272,0.404,1.429,1.335,0.366
0.78521645,-0.207,-0.223,0.044,0.128,-0.236,-0.303,0.334,0.327,0.262,-0.098,0.529,0.38,1.012,0.629,0.251,0.434,1.46,1.322,0.408
0.8108815,-0.195,-0.214,0.081,0.134,-0.244,-0.317,0.341,0.28,0.226,-0.091,0.529,0.367,1.046,0.656,0.218,0.46,1.472,1.316,0.416
0.8301458,-0.157,-0.216,0.12,0.125,-0.221,-0.353,0.345,0.252,0.226,-0.075,0.529,0.376,1.066,0.655,0.205,0.485,1.477,1.311,0.414
0.83589065,-0.127,-0.205,0.121,0.117,-0.195,-0.355,0.349,0.243,0.226,0.014,0.529,0.387,1.087,0.655,0.193,0.522,1.473,1.296,0.389
0.8693258,-0.104,-0.15,0.143,0.111,-0.167,-0.327,0.357,0.243,0.229,0.014,0.535,0.393,1.134,0.651,0.18,0.528,1.472,1.284,0.372
0.8460724,-0.138,-0.131,0.17,0.115,-0.205,-0.308,0.373,0.243,0.23,0.014,0.559,0.387,1.141,0.647,0.178,0.521,1.446,1.283,0.355
0.8030072,-0.19,-0.11,0.206,0.13,-0.239,-0.282,0.373,0.292,0.278,0.014,0.636,0.386,1.101,0.644,0.188,0.513,1.464,1.288,0.359
0.80003005,-0.242,0.007,0.255,0.184,-0.324,-0.221,0.338,0.341,0.284,0.014,0.664,0.397,1.068,0.656,0.218,0.505,1.485,1.291,0.369
0.80446804,-0.247,0.056,0.249,0.192,-0.355,-0.212,0.288,0.365,0.152,0.014,0.644,0.415,1.047,0.68,0.265,0.489,1.462,1.26,0.369
0.80389184,-0.26,0.068,0.205,0.171,-0.374,-0.223,0.212,0.365,0.179,0.005,0.593,0.467,1.055,0.725,0.364,0.482,1.411,1.234,0.353
0.8172524,-0.236,0.052,0.18,0.086,-0.327,-0.243,0.048,0.333,0.2,-0.016,0.519,0.489,1.055,0.739,0.394,0.465,1.399,1.217,0.304
0.86218154,-0.243,0.042,0.156,0.069,-0.329,-0.225,0.01,0.237,0.222,-0.02,0.457,0.512,1.035,0.752,0.404,0.447,1.399,1.227,0.282
0.8608667,-0.278,0.052,0.11,0.097,-0.368,-0.169,0.017,0.221,0.243,-0.02,0.461,0.514,1.019,0.751,0.395,0.42,1.404,1.239,0.269
0.8487724,-0.293,0.061,0.093,0.115,-0.392,-0.151,0.025,0.205,0.256,-0.024,0.525,0.513,1.006,0.756,0.385,0.363,1.429,1.261,0.287
0.8511825,-0.323,0.049,0.067,0.127,-0.403,-0.154,0.02,0.226,0.266,-0.111,0.557,0.518,1.02,0.802,0.389,0.341,1.444,1.27,0.313
0.8605006,-0.311,0.079,0.072,0.127,-0.346,-0.197,-0.04,0.226,0.294,-0.09,0.583,0.53,1.033,0.81,0.408,0.329,1.473,1.26,0.375
0.88250047,-0.294,0.079,0.095,0.119,-0.287,-0.197,-0.071,0.227,0.33,-0.09,0.583,0.552,1.065,0.81,0.452,0.351,1.478,1.26,0.406
0.90765077,-0.256,0.079,0.148,0.066,-0.155,-0.197,-0.079,0.221,0.363,-0.09,0.583,0.554,1.076,0.81,0.458,0.387,1.471,1.26,0.432
0.88768715,-0.241,0.065,0.167,0.023,-0.089,-0.204,-0.071,0.282,0.479,0.026,0.536,0.55,1.083,0.825,0.447,0.438,1.443,1.253,0.454
0.88438255,-0.219,0.06,0.223,-0.01,-0.038,-0.209,-0.067,0.333,0.494,0.026,0.525,0.527,1.079,0.854,0.385,0.443,1.434,1.251,0.454
0.87429154,-0.218,0.079,0.241,0.007,-0.005,-0.237,-0.061,0.426,0.491,0.013,0.516,0.513,1.069,0.869,0.347,0.447,1.433,1.269,0.463
0.86633533,-0.213,0.104,0.251,0.037,-0.01,-0.266,-0.052,0.512,0.477,-0.008,0.508,0.506,1.067,0.88,0.302,0.46,1.44,1.281,0.476
0.8778222,-0.191,0.133,0.263,0.061,0.03,-0.344,-0.041,0.526,0.472,-0.01,0.501,0.511,1.078,0.884,0.305,0.485,1.442,1.286,0.493
0.8903348,-0.172,0.138,0.284,0.055,0.059,-0.382,-0.043,0.53,0.464,-0.01,0.484,0.518,1.095,0.895,0.319,0.537,1.435,1.274,0.52
0.9127388,-0.123,0.147,0.35,0.045,0.093,-0.414,-0.047,0.528,0.454,-0.01,0.457,0.526,1.124,0.914,0.351,0.552,1.42,1.276,0.525
0.9293065,-0.093,0.143,0.369,0.029,0.153,-0.439,-0.058,0.522,0.453,-0.015,0.418,0.522,1.117,0.919,0.354,0.569,1.368,1.336,0.523
0.9364565,-0.066,0.117,0.364,0.025,0.173,-0.421,-0.071,0.507,0.453,-0.062,0.386,0.499,1.059,0.933,0.33,0.572,1.341,1.377,0.516
0.94261605,-0.02,0.103,0.301,0.02,0.182,-0.365,-0.106,0.501,0.453,-0.062,0.364,0.491,1.028,0.935,0.32,0.566,1.322,1.392,0.503
0.9419804,0.0,0.095,0.263,0.016,0.157,-0.337,-0.121,0.506,0.453,-0.082,0.355,0.493,1.003,0.933,0.326,0.537,1.321,1.4,0.485
0.93187153,0.012,0.04,0.212,0.007,0.092,-0.317,-0.134,0.529,0.453,-0.058,0.348,0.512,0.978,0.932,0.363,0.528,1.343,1.409,0.489
0.9297846,0.012,0.03,0.2,-0.011,0.092,-0.253,-0.147,0.56,0.453,-0.014,0.349,0.52,0.978,0.933,0.376,0.545,1.343,1.405,0.523
0.8930216,0.012,0.023,0.206,-0.015,0.092,-0.203,-0.147,0.657,0.453,0.03,0.426,0.52,0.978,0.936,0.381,0.563,1.343,1.39,0.541
0.8927252,0.012,0.023,0.239,-0.031,0.092,-0.108,-0.139,0.657,0.453,0.037,0.456,0.512,0.978,0.935,0.379,0.577,1.343,1.375,0.551
0.900888,-0.134,0.038,0.239,-0.048,-0.2,-0.079,-0.123,0.676,0.16,0.059,0.587,0.501,1.284,0.932,0.378,0.577,1.436,1.359,0.543
0.8780104,-0.034,0.071,0.186,-0.068,-0.208,-0.066,-0.099,0.664,0.261,0.059,0.706,0.482,1.249,0.93,0.372,0.569,1.445,1.354,0.533
0.86199635,-0.014,0.073,0.157,-0.095,-0.238,-0.036,-0.048,0.634,0.406,0.057,0.772,0.475,1.24,0.929,0.368,0.564,1.44,1.341,0.51
0.8537013,-0.014,0.076,0.161,-0.098,-0.239,-0.023,-0.026,0.606,0.492,0.038,0.782,0.471,1.221,0.922,0.353,0.564,1.438,1.315,0.496
0.85002357,-0.028,0.085,0.211,-0.066,-0.237,0.004,0.027,0.617,0.492,0.038,0.784,0.47,1.221,0.914,0.344,0.564,1.447,1.28,0.482
0.8315458,-0.028,0.093,0.22,-0.031,-0.237,0.014,0.058,0.659,0.492,0.038,0.784,0.465,1.221,0.908,0.336,0.565,1.447,1.207,0.458
0.82081115,-0.038,0.126,0.224,0.004,-0.237,0.023,0.083,0.66,0.558,0.038,0.784,0.432,1.201,0.914,0.32,0.567,1.447,1.172,0.448
0.7927287,-0.04,0.114,0.218,0.029,-0.233,-0.002,0.106,0.66,0.569,0.041,0.784,0.411,1.183,0.893,0.314,0.572,1.435,1.114,0.425
0.77054477,-0.02,0.089,0.198,0.006,-0.219,-0.055,0.108,0.648,0.56,0.037,0.785,0.367,1.147,0.833,0.318,0.564,1.429,1.114,0.402
0.75794077,0.009,0.004,0.119,-0.102,-0.228,-0.215,0.12,0.606,0.548,0.033,0.785,0.346,1.118,0.813,0.324,0.544,1.428,1.132,0.371
0.7494941,0.011,-0.062,0.085,-0.159,-0.209,-0.286,0.132,0.433,0.55,0.033,0.785,0.328,1.121,0.8,0.329,0.481,1.417,1.124,0.315
0.70689,-0.024,-0.35,0.076,-0.192,-0.21,-0.303,0.14,0.454,0.55,0.045,0.785,0.31,1.096,0.731,0.329,0.454,1.404,1.089,0.303
0.6886771,-0.068,-0.36,0.088,-0.171,-0.198,-0.238,0.125,0.478,0.55,0.056,0.785,0.308,1.08,0.714,0.327,0.422,1.397,1.046,0.305
0.7032401,-0.112,-0.38,0.081,-0.138,-0.198,-0.229,0.112,0.484,0.543,0.058,0.64,0.305,1.049,0.748,0.339,0.412,1.396,1.042,0.314
0.7190461,-0.13,-0.408,-0.025,-0.074,-0.218,-0.228,0.101,0.47,0.374,0.059,0.528,0.304,1.038,0.789,0.351,0.403,1.384,1.039,0.324
0.73639756,-0.121,-0.41,-0.081,-0.063,-0.223,-0.223,0.095,0.461,0.38,0.077,0.401,0.308,1.035,0.826,0.359,0.398,1.347,1.035,0.351
0.74905014,-0.121,-0.376,-0.098,-0.075,-0.223,-0.211,0.082,0.443,0.38,0.09,0.404,0.331,1.035,0.863,0.357,0.407,1.347,1.035,0.372
0.7611303,-0.118,-0.351,-0.076,-0.126,-0.225,-0.168,0.055,0.426,0.375,0.092,0.401,0.341,1.042,0.872,0.352,0.428,1.343,1.03,0.403
0.7684226,-0.126,-0.34,-0.045,-0.136,-0.225,-0.138,0.05,0.438,0.336,0.092,0.421,0.346,1.063,0.901,0.351,0.431,1.34,1.025,0.412
0.76666826,-0.165,-0.335,-0.002,-0.123,-0.2,-0.097,0.024,0.44,0.336,0.136,0.428,0.346,1.057,0.91,0.351,0.432,1.343,1.02,0.423
0.7628734,-0.184,-0.344,0.005,-0.111,-0.215,-0.09,-0.006,0.44,0.323,0.259,0.43,0.347,1.045,0.921,0.35,0.438,1.35,1.028,0.454
0.7558919,-0.278,-0.334,0.005,-0.098,-0.256,-0.097,-0.047,0.442,0.332,0.274,0.43,0.344,1.001,0.957,0.346,0.443,1.361,1.049,0.466
0.7566135,-0.279,-0.292,-0.001,-0.072,-0.318,-0.135,-0.116,0.452,0.34,0.261,0.442,0.333,0.985,0.973,0.345,0.443,1.365,1.097,0.466
0.7568177,-0.254,-0.283,-0.008,-0.059,-0.339,-0.14,-0.124,0.465,0.372,0.201,0.455,0.301,0.958,1.005,0.35,0.437,1.361,1.105,0.455
0.75845647,-0.238,-0.248,-0.007,-0.058,-0.344,-0.132,-0.109,0.472,0.401,0.169,0.457,0.297,0.937,1.009,0.354,0.431,1.363,1.111,0.445
